Date,Actual_Price,ARIMA_Forecast,SARIMA_Forecast
2018-02-16,3078,2844.017855858172,3001.22879980556
2018-02-17,3080,2843.8339089860765,3001.4637888267607
2018-02-18,3080,2843.6504693602446,3001.6987277483413
2018-02-19,3076,2843.46753558191,3001.9332781093162
2018-02-20,3072,2843.285106256162,3002.1686370929115
2018-02-21,3051,2843.103179991939,3002.403498871491
2018-02-22,3048,2842.921755402013,3002.637886882545
2018-02-23,3045,2842.7408311029826,3002.872630338592
2018-02-24,3051,2842.560405715261,3003.106233908753
2018-02-25,3051,2842.380477863065,3003.341786932679
2018-02-26,3056,2842.201046174407,3003.576035100188
2018-02-27,3047,2842.022109281081,3003.812405852764
2018-02-28,3036,2841.8436658186542,3004.047508048616
2018-03-01,3019,2841.6657144264577,3004.2819214565407
2018-03-02,3050,2841.4882537475723,3004.516456013901
2018-03-03,3045,2841.3112824288232,3004.7516644405296
2018-03-04,3045,2841.1347991207654,3004.98589813338
2018-03-05,3036,2840.9588024776754,3005.2206069742842
2018-03-06,3059,2840.7832911575406,3005.4555797146695
2018-03-07,3046,2840.60826382205,3005.69175755008
2018-03-08,3044,2840.4337191365817,3005.927716042664
2018-03-09,3040,2840.2596557701954,3006.1626363535515
2018-03-10,3040,2840.08607239562,3006.397182685155
2018-03-11,3040,2839.9129676892444,3006.633700005777
2018-03-12,3032,2839.740340331108,3006.8689576068136
2018-03-13,3038,2839.5681890048904,3007.1049941432084
2018-03-14,3041,2839.3965123979006,3007.3402318233957
2018-03-15,3032,2839.2253092010665,3007.5746032593056
2018-03-16,3023,2839.054578108927,3007.810458254553
2018-03-17,3022,2838.8843178196216,3008.0461601033803
2018-03-18,3022,2838.714527034878,3008.2811007408204
2018-03-19,3043,2838.5452044600047,3008.5165661348246
2018-03-20,3026,2838.376348803881,3008.7520061284617
2018-03-21,3045,2838.207958778945,3008.9872041484955
2018-03-22,3049,2838.040033101188,3009.222926246721
2018-03-23,3089,2837.872570490139,3009.4583368532103
2018-03-24,3091,2837.7055696688603,3009.6934509656207
2018-03-25,3091,2837.5390293639343,3009.928799179366
2018-03-26,3093,2837.3729483054553,3010.163424665553
2018-03-27,3071,2837.207325227019,3010.39930422535
2018-03-28,3052,2837.0421588657136,3010.6343554976092
2018-03-29,3042,2836.8774479621106,3010.8707716274407
2018-03-30,3041,2836.7131912602536,3011.1063826981526
2018-03-31,3041,2836.549387507649,3011.341559691597
2018-04-01,3041,2836.386035455259,3011.576820869439
2018-04-02,3096,2836.223133857488,3011.8125199054907
2018-04-03,3064,2836.0606814721764,3012.0476018953636
2018-04-04,3072,2835.8986770605893,3012.282994587145
2018-04-05,3035,2835.7371193874087,3012.5185628080308
2018-04-06,3070,2835.5760072207227,3012.7549088089163
2018-04-07,3069,2835.4153393320153,3012.9911211238013
2018-04-08,3069,2835.2551144961594,3013.226675796184
2018-04-09,3076,2835.0953314914063,3013.461997835133
2018-04-10,3086,2834.935989099376,3013.6985877349266
2018-04-11,3135,2834.7770861050485,3013.934378236549
2018-04-12,3101,2834.6186212967536,3014.170673831082
2018-04-13,3111,2834.4605934661636,3014.4064649248485
2018-04-14,3112,2834.303001408282,3014.6417083982246
2018-04-15,3112,2834.145843921435,3014.8779078394973
2018-04-16,3130,2833.9891198072623,3015.1140159570923
2018-04-17,3139,2833.83282787071,3015.3496436641035
2018-04-18,3154,2833.6769669200175,3015.5856138237236
2018-04-19,3160,2833.5215357667116,3015.8215744031277
2018-04-20,3144,2833.3665332255964,3016.0573868223764
2018-04-21,3143,2833.211958114743,3016.2935412617244
2018-04-22,3143,2833.0578092554842,3016.529503058834
2018-04-23,3128,2832.904085472401,3016.765281810899
2018-04-24,3139,2832.7507855933163,3017.0012170348027
2018-04-25,3139,2832.5979084492856,3017.2366964772564
2018-04-26,3125,2832.4454528745873,3017.472985050468
2018-04-27,3121,2832.293417706715,3017.70875029776
2018-04-28,3121,2832.1418017863675,3017.9453955650815
2018-04-29,3121,2831.990603957441,3018.1815323708834
2018-04-30,3104,2831.839823067019,3018.4173980988335
2018-05-01,3091,2831.6894579653654,3018.6533243737204
2018-05-02,3093,2831.5395075059128,3018.8895375041775
2018-05-03,3105,2831.3899705452573,3019.1253624805595
2018-05-04,3112,2831.2408459431467,3019.36139294903
2018-05-05,3111,2831.092132562474,3019.5975424160006
2018-05-06,3111,2830.943829269268,3019.834196249126
2018-05-07,3126,2830.7959349326834,3020.0707712218373
2018-05-08,3123,2830.648448424994,3020.30693206639
2018-05-09,3130,2830.5013686215834,3020.542950737283
2018-05-10,3136,2830.3546944009368,3020.779787368399
2018-05-11,3153,2830.2084246446307,3021.0161191665834
2018-05-12,3152,2830.0625582373277,3021.252780847575
2018-05-13,3152,2829.9170940667636,3021.489126395059
2018-05-14,3149,2829.772031023744,3021.725128218256
2018-05-15,3117,2829.6273680021313,3021.9617484308387
2018-05-16,3100,2829.4831038988386,3022.198316894434
2018-05-17,3098,2829.339237613821,3022.4345846413926
2018-05-18,3108,2829.195768050067,3022.671078204337
2018-05-19,3109,2829.05269411359,3022.90757232571
2018-05-20,3109,2828.910014713421,3023.1439783317746
2018-05-21,3112,2828.7677287615984,3023.380609878641
2018-05-22,3111,2828.625835173161,3023.617124848136
2018-05-23,3119,2828.484332866139,3023.8535293818168
2018-05-24,3148,2828.3432207615474,3024.090040729609
2018-05-25,3118,2828.202497783376,3024.3262671245934
2018-05-26,3119,2828.062162858582,3024.563017956856
2018-05-27,3119,2827.92221491708,3024.7994406171338
2018-05-28,3097,2827.782652891738,3025.036433076226
2018-05-29,3118,2827.6434757183647,3025.273106875784
2018-05-30,3104,2827.5046823357047,3025.509613912931
2018-05-31,3087,2827.366271685428,3025.746166387615
2018-06-01,3055,2827.228242712123,3025.9829091102883
2018-06-02,3055,2827.09059436329,3026.219410157616
2018-06-03,3055,2826.9533255893307,3026.456049391273
2018-06-04,3060,2826.81643534354,3026.692771466436
2018-06-05,3068,2826.6799225821005,3026.9298229719325
2018-06-06,3085,2826.5437862640733,3027.1668307144046
2018-06-07,3119,2826.4080253513894,3027.4035801639043
2018-06-08,3122,2826.2726388088427,3027.640245338671
2018-06-09,3122,2826.137625604081,3027.87744060783
2018-06-10,3122,2826.0029847076003,3028.114319545595
2018-06-11,3122,2825.8687150927344,3028.3514162687734
2018-06-12,3116,2825.7348157356478,3028.5883174062265
2018-06-13,3114,2825.6012856153297,3028.825005303744
2018-06-14,3139,2825.4681237135837,3029.062095597276
2018-06-15,3101,2825.335329015022,3029.299159480507
2018-06-16,3101,2825.202900507056,3029.5360376450276
2018-06-17,3101,2825.0708371798896,3029.773067008032
2018-06-18,3099,2824.9391380265115,3030.0101034326767
2018-06-19,3088,2824.8078020426874,3030.247090179108
2018-06-20,3077,2824.6768282269522,3030.4842279495124
2018-06-21,3062,2824.5462155806017,3030.7212978305033
2018-06-22,3062,2824.415963107687,3030.9583037524526
2018-06-23,3061,2824.286069815004,3031.195384729345
2018-06-24,3061,2824.156534712089,3031.4322900786506
2018-06-25,3065,2824.0273568112084,3031.669537711848
2018-06-26,3055,2823.898535127353,3031.906582063506
2018-06-27,3069,2823.7700686782296,3032.143997725956
2018-06-28,3049,2823.641956484254,3032.3812161947244
